RightAnkle				LeftShoulder				RightShoulder				RightKnee				LeftKnee				Pelvic				LeftHip				Trunk2Ground				RightHip				LeftAnkle				
RightAnkle_Time	RightAnkle_Abduction-Adduction	RightAnkle_Internal-External Rotat	RightAnkle_Flexion-Extension	LeftShoulder_Time	LeftShoulder_Abduction-Adduction	LeftShoulder_Internal-External Rotat	LeftShoulder_Flexion-Extension	RightShoulder_Time	RightShoulder_Abduction-Adduction	RightShoulder_Internal-External Rotat	RightShoulder_Flexion-Extension	RightKnee_Time	RightKnee_Abduction-Adduction	RightKnee_Internal-External Rotat	RightKnee_Flexion-Extension	LeftKnee_Time	LeftKnee_Abduction-Adduction	LeftKnee_Internal-External Rotat	LeftKnee_Flexion-Extension	Pelvic_Time	Pelvic_Abduction-Adduction	Pelvic_Internal-External Rotat	Pelvic_Flexion-Extension	LeftHip_Time	LeftHip_Abduction-Adduction	LeftHip_Internal-External Rotat	LeftHip_Flexion-Extension	Trunk2Ground_Time	Trunk2Ground_Abduction-Adduction	Trunk2Ground_Internal-External Rotat	Trunk2Ground_Flexion-Extension	RightHip_Time	RightHip_Abduction-Adduction	RightHip_Internal-External Rotat	RightHip_Flexion-Extension	LeftAnkle_Time	LeftAnkle_Abduction-Adduction	LeftAnkle_Internal-External Rotat	LeftAnkle_Flexion-Extension	
208695	0.687577095804988	12.1943662774363	-5.1804173688936	208695	-0.501714989244116	5.22060595303049	0.137750449811776	208695	-3.62411250798926	39.7877384306051	-2.58732611914887	208695	1.15342468176134	-19.7061896729528	3.26305744727269	208695	1.7244991511785	6.19884469269764	3.71599709161344	208695	-1.98757660521581	1.26727844762529	-5.75417984298981	208695	2.28809932475283	-3.62361425377563	4.65394770025711	208695	-2.03694446432109	-87.7045665049379	-88.84546068867	208695	2.59426536152679	23.3774234369362	-0.780862432572708	208695	1.81214097326763	0.76291705644765	2.17925044302534	
208701	0.679143882942905	12.2151999932014	-5.15811583988717	208701	-0.515343257674648	5.2488254043128	0.0824970490089733	208701	-3.55121316452807	39.5590977462083	-2.48218942246013	208701	1.15772722516644	-19.7496258277146	3.22562504578764	208701	1.71436913039013	6.24074028135226	3.73233161273467	208701	-1.95947116021323	1.23327527609179	-5.76354251000997	208701	2.24909748517796	-3.63998177123485	4.70367597476028	208701	-2.06434525467807	-87.6509771401617	-88.8592468183297	208701	2.56270285200685	23.3989383484586	-0.825744896369397	208701	1.81489658325618	0.773862558963432	2.21923407912867	
208707	0.671474397463665	12.2373985888347	-5.13551292998132	208707	-0.529556284672187	5.287392863372	0.0254686120416026	208707	-3.47303144787146	39.3386941303212	-2.37772784392793	208707	1.16244940940351	-19.7935500911342	3.18806535774148	208707	1.69909248400895	6.28181467063353	3.73796933353168	208707	-1.92740900925662	1.20609174262322	-5.77299471690949	208707	2.20919608052356	-3.65609834152531	4.73505114691302	208707	-2.09112636541612	-87.6049803360408	-88.8774883203196	208707	2.53136462696488	23.4205934983823	-0.868401565248671	208707	1.82121169600378	0.784176757649273	2.25089598409076	
208713	0.67071059081727	12.2666906203738	-5.11522446994405	208713	-0.572260347753095	5.32016060965446	-0.0317502225053215	208713	-3.397378254856	39.1173462534237	-2.27360286503343	208713	1.16323419478377	-19.8323542563301	3.14775381427459	208713	1.65192552664278	6.30116135582854	3.73593824319888	208713	-1.89549093695372	1.17784335695379	-5.780849005603	208713	2.19492857470285	-3.6480186252553	4.75300163066071	208713	-2.11618044131324	-87.5598792743388	-88.8950035479182	208713	2.50024077720832	23.4437117278784	-0.909444271399243	208713	1.83639895817685	0.789546279447035	2.28270880501253	
208719	0.668775275900467	12.2966980775727	-5.09398000925549	208719	-0.673452526142535	5.30676268949749	-0.100673269300049	208719	-3.3904127030391	38.8352175634582	-2.18328022995526	208719	1.15372019191937	-19.8601887522834	3.10025909261293	208719	1.61700797326549	6.32329695852495	3.7237379594016	208719	-1.90661394835992	1.09928494176711	-5.80015113495631	208719	2.16586984432527	-3.64115811564518	4.75840922351289	208719	-2.1476215753913	-87.4649677576865	-88.856393204764	208719	2.44983959065862	23.452905085708	-0.949596875003653	208719	1.84588662081346	0.800712736577386	2.31342597963639	
208725	0.676644923465761	12.3355015119498	-5.0674873926609	208725	-0.752845506120871	5.30647433352121	-0.169328369951794	208725	-3.38364121165137	38.5540196166192	-2.09553348171663	208725	1.15266552274889	-19.8941737744729	3.05007913865414	208725	1.57934461851395	6.34475460761897	3.7109319107184	208725	-1.91331266724899	1.02176836696267	-5.81524712569433	208725	2.13585432149535	-3.63355468915926	4.76347660996506	208725	-2.17575397279731	-87.3721198666981	-88.8219184524769	208725	2.39786356551317	23.4614245940006	-0.987160104066809	208725	1.81183884710551	0.842618536679803	2.33422811969431	
208731	0.685275559668105	12.3744612389695	-5.03796578381253	208731	-0.829467711130487	5.30713440302944	-0.236407119946272	208731	-3.37884130252904	38.2735822032643	-2.00847191567585	208731	1.15222414536775	-19.9277727517185	2.99715624991597	208731	1.52354586020892	6.3540698627637	3.70510777482471	208731	-1.92789626477394	0.938219756528363	-5.82726576443464	208731	2.11394815925242	-3.61761748056576	4.76971966577071	208731	-2.20032435562441	-87.2808732132874	-88.7906020711521	208731	2.35514094388816	23.4768275158301	-1.02279305933763	208731	1.80244454933363	0.869864370236001	2.35218679013912	
208737	0.679273262812421	12.4030657204156	-5.00383566372555	208737	-0.854782164843937	5.3577559849302	-0.282742663835335	208737	-3.32534344151848	38.0545102397232	-1.90889625666609	208737	1.13797297780052	-19.9490999720229	2.93842338259486	208737	1.50483572290459	6.38607113939152	3.69229159371247	208737	-1.89696206246247	0.909665283036834	-5.81637644431839	208737	2.06014748882753	-3.62469183254168	4.77541537489301	208737	-2.20660133076003	-87.2423253092181	-88.8118756454068	208737	2.31226225365291	23.4925569244172	-1.05517529995979	208737	1.83011681485862	0.874355205162654	2.37836771403128	
208743	0.659774612757424	12.4229500952616	-4.96150761387783	208743	-0.907980673673931	5.39391454982123	-0.322157312933481	208743	-3.27964435406331	37.8389329556128	-1.80844723596124	208743	1.14517203453218	-19.9905791206453	2.8885825380144	208743	1.50904350588318	6.43001432280415	3.6775388828666	208743	-1.86130136535508	0.885296751228071	-5.79934622665214	208743	2.00158117844729	-3.63477282791193	4.78301150990827	208743	-2.20593674372488	-87.2051204924934	-88.8319842718817	208743	2.28676515935972	23.5233332032329	-1.0823063361726	208743	1.83492432875991	0.889439396104431	2.40440191528093	
208749	0.640658501457788	12.4440998767661	-4.91656448158661	208749	-0.956002807053079	5.4314349449352	-0.358201106058389	208749	-3.24968990050886	37.6178564619041	-1.71288232087987	208749	1.15310156746718	-20.0323763709394	2.83578596869798	208749	1.51646634885716	6.47459197496199	3.66161816172703	208749	-1.82289266204554	0.863578206185024	-5.77923500613531	208749	1.9424753246418	-3.64432840650684	4.79635150415573	208749	-2.20250947045366	-87.1711477725312	-88.8563153804619	208749	2.26223633626227	23.5540343254283	-1.10909229348895	208749	1.83980083478626	0.905005835105197	2.4381741061657	
